                     epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.4016,                 1.0621,                 1.1183,                0.51759,                0.40873,                0.42186,                0.25513,                  1.345,                  1.016,                 1.0987,               0.007195,               0.007195,               0.007195
                     88,                  1.396,                 1.0567,                  1.117,                0.51765,                0.41323,                0.42485,                0.25665,                 1.3429,                 1.0136,                 1.0974,               0.007162,               0.007162,               0.007162
                     89,                 1.4016,                 1.0592,                 1.1171,                 0.5289,                0.40542,                0.42528,                0.25583,                 1.3427,                 1.0138,                  1.097,               0.007129,               0.007129,               0.007129
                     90,                  1.396,                 1.0581,                 1.1155,                0.53416,                0.40743,                0.42734,                0.25707,                 1.3423,                 1.0103,                 1.0965,               0.007096,               0.007096,               0.007096
                     91,                 1.4017,                 1.0558,                 1.1148,                0.52189,                0.41228,                 0.4268,                0.25685,                 1.3412,                 1.0106,                 1.0958,               0.007063,               0.007063,               0.007063
                     92,                 1.3926,                 1.0506,                 1.1136,                0.52583,                 0.4114,                0.42819,                0.25771,                 1.3414,                 1.0093,                 1.0963,                0.00703,                0.00703,                0.00703
                     93,                 1.3971,                 1.0547,                 1.1165,                0.52625,                0.41114,                0.42796,                0.25766,                 1.3414,                 1.0084,                 1.0963,               0.006997,               0.006997,               0.006997
                     94,                 1.3954,                 1.0542,                   1.12,                0.52525,                0.41178,                 0.4286,                0.25772,                 1.3401,                  1.006,                 1.0958,               0.006964,               0.006964,               0.006964
                     95,                  1.395,                  1.047,                 1.1144,                0.52808,                0.41029,                0.42852,                0.25775,                 1.3395,                 1.0051,                 1.0954,               0.006931,               0.006931,               0.006931
                     96,                 1.3894,                 1.0491,                 1.1149,                0.52652,                0.41608,                0.42876,                0.25853,                 1.3383,                 1.0036,                 1.0946,               0.006898,               0.006898,               0.006898
                     97,                 1.3942,                 1.0485,                 1.1132,                0.52507,                0.41609,                0.42975,                0.25868,                 1.3381,                 1.0018,                 1.0945,               0.006865,               0.006865,               0.006865
                     98,                 1.3842,                 1.0404,                 1.1134,                0.52119,                0.41805,                0.43108,                 0.2595,                 1.3377,                 1.0015,                 1.0943,               0.006832,               0.006832,               0.006832
                     99,                 1.3893,                  1.043,                 1.1086,                0.52654,                0.41507,                0.43208,                0.26003,                 1.3365,                 1.0005,                 1.0936,               0.006799,               0.006799,               0.006799
                    100,                 1.3865,                 1.0401,                 1.1111,                  0.531,                0.41454,                0.43464,                0.26186,                 1.3364,                 1.0004,                 1.0936,               0.006766,               0.006766,               0.006766
